Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE42432	"Effects of 30 days resveratrol supplementation on adipose tissue morphology and gene expression patterns in obese men"	"Expression profiling by array"	"Homo sapiens"	18		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42432/suppl"	23958793		"Guido Hooiveld"	"Sep 25, 2013"
GSE47657	"Differentially expressed genes by anti tumor treatment in human cancer cell lines"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47657/suppl"	23936419;24091622		"Naohiko Seki"	"Sep 25, 2013"
GSE48097	"Molecular classification of mature aggressive B cell lymphoma using digital multiplexed gene expression on formalin-fixed paraffin-embedded biopsy specimens [Affymetrix]"	"Expression profiling by array;Third-party reanalysis"	"Homo sapiens"	43		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48097/suppl"	24030260		"Christian W Kohler"	"Sep 25, 2013"
GSE48182	"Molecular classification of mature aggressive B cell lymphoma using digital multiplexed gene expression on formalin-fixed paraffin-embedded biopsy specimens [FFPE]"	"Expression profiling by array"	"Homo sapiens"	40		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48182/suppl"	24030260		"Christian W Kohler"	"Sep 25, 2013"
GSE48183	"Molecular classification of mature aggressive B cell lymphoma using digital multiplexed gene expression on formalin-fixed paraffin-embedded biopsy specimens [Frozen tissue]"	"Expression profiling by array"	"Homo sapiens"	50		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48183/suppl"	24030260		"Christian W Kohler"	"Sep 25, 2013"
GSE48184	"Molecular classification of mature aggressive B cell lymphoma using digital multiplexed gene expression on formalin-fixed paraffin-embedded biopsy specimens"	"Expression profiling by array;Third-party reanalysis"	"Homo sapiens"	133		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48184/suppl"	24030260		"Christian W Kohler"	"Sep 25, 2013"
GSE51140	"Real-time quantitative PCR analysis of human colon cancer cells for UPR related genes"	"Expression profiling by RT-PCR"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51140/suppl"			"yosuke shimodaira"	"Sep 25, 2013"
GSE51141	"Real-time quantitative PCR analysis of human colon cancer cells for autophagy related genes"	"Expression profiling by RT-PCR"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51141/suppl"			"yosuke shimodaira"	"Sep 25, 2013"
GSE51142	"Transcription factor binding in human cells occurs in dense clusters formed around cohesin anchor sites [Validation Set]"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	268		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51142/suppl"	23953112	SRP030407	"Martin Enge"	"Sep 25, 2013"
GSE43730	"A Myc transcriptional program that is independent of EMT drives a poor prognosis tumor-propagating phenotype in HER2+ breast cancer"	"Expression profiling by array"	"Homo sapiens"	11	GDS4763	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43730/suppl"	24056965		"Daniel Roden"	"Sep 24, 2013"
GSE44547	"Microarray Analysis of microRNA Expression during Notophthalmus viridescens (red-spotted newt) heart regeneration"	"Non-coding RNA profiling by array"	"Danio rerio;Homo sapiens;Notophthalmus viridescens;Pipidae"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44547/suppl"	24055866		"Jamie Ian Morrison"	"Sep 24, 2013"
GSE49247	"Gene expression analysis of induced pluripotent stem cells from aneuploid chromosomal syndromes"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49247/suppl"	24564826	SRP028255	"Ruosi Zhang"	"Sep 24, 2013"
GSE50547	"Global mRNA gene expression analysis profiling control HEK293 cell and cells expressing  HSP70K71E"	"Expression profiling by array"	"Homo sapiens"	6		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50547/suppl"			"Jung S Byun"	"Sep 24, 2013"
