Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE82152	"Expression data from Yellow Fever 17D vaccine immunized healthy subjects"	"Expression profiling by array"	"Homo sapiens"	109		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82152/suppl"	28687661		"Yiming Shao"	"Jun 25, 2017"
GSE84662	"Dynamic and stable enhancer-promoter contacts regulate terminal differentiation"	"Genome binding/occupancy profiling by high throughput sequencing;Other;Expression profiling by high throughput sequencing"	"Homo sapiens"	52		"BED;BIGWIG;BW"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84662/suppl"	28805829		"Paul Khavari"	"Jun 25, 2017"
GSE92625	"PRC2 specifies ectoderm lineages and maintains pluripotency in primed but not naïve ESCs"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	19		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92625/suppl"	28939884	SRP095403	"qianyu chen"	"Jun 25, 2017"
GSE97346	"Gene expression of AML cell lines (HL60, KG1a, MOLM14 and U937) untreated or treated with metformin"	"Expression profiling by array"	"Homo sapiens"	24		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97346/suppl"	28416471		"Tony KAOMA"	"Jun 25, 2017"
GSE97393	"Gene expression of AML patient samples"	"Expression profiling by array"	"Homo sapiens"	21		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97393/suppl"	28416471		"Tony KAOMA"	"Jun 25, 2017"
GSE97631	"Gene expression of viable human AML cells purified by FACS from bone marrows of three AML PDX treated by PBS(vehicle) or cytarabine"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97631/suppl"	28416471		"Tony KAOMA"	"Jun 25, 2017"
GSE100210	"RNA editing by ADAR1 leads to context-dependent transcriptome-wide changes in RNA Secondary Structure"	"Expression profiling by high throughput sequencing;Other"	"Homo sapiens"	14		"BW;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100210/suppl"	29129909	SRP109827	"Oz Solomon"	"Jun 25, 2017"
GSE100398	"Gene Expression Profile of ING5-knockdown Brain Tumor Initiating Cell Lines"	"Expression profiling by array"	"Homo sapiens"	4		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100398/suppl"	28925404		"Fangwu Wang"	"Jun 24, 2017"
GSE100417	"Global transcriptome analysis of WT versus HEB-/- hESCs"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	6		"XLSX"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100417/suppl"	28803914	SRP110267	"Yang Li"	"Jun 24, 2017"
GSE100427	"CUREfast: Accelerating research with families"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	10		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100427/suppl"	28968964	SRP110289	"Noah Berlow"	"Jun 24, 2017"
GSE100439	"H3K4me3 Epigenetic remodelling after Dabrafenib treatment"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	6		"TDF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100439/suppl"		SRP110323	"Helmut Schaider"	"Jun 24, 2017"
GSE71985	"Human oocyte DNA methylome"	"Methylation profiling by high throughput sequencing"	"Homo sapiens"	30		"BEDGRAPH;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71985/suppl"	28648898	SRP062328	"Bo Yu"	"Jun 23, 2017"
GSE72324	"Effect of Intradermal Immunotherapy (IDIT) injections on gene expression profiles of activated T cells derived from skin biopsy explants"	"Expression profiling by array"	"Homo sapiens"	15		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72324/suppl"	27773851		"David John Cousins"	"Jun 23, 2017"
GSE76082	"Genome-wide maps of chromatin state during the differentiation of hESC into hNECs (ChIP-Seq)"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	10		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76082/suppl"	28475175	SRP067465	"yanhua du"	"Jun 23, 2017"
GSE76083	"Genome-wide maps of chromatin state during the differentiation of hESC into hNECs (MNase-Seq)"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76083/suppl"	28475175	SRP067463	"yanhua du"	"Jun 23, 2017"
GSE76084	"Genome-wide maps of chromatin state during the differentiation of hESC into hNECs"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76084/suppl"	28475175		"yanhua du"	"Jun 23, 2017"
GSE81120	"Circulating miRNAs in the maternal serum during early pregnancy in the pig"	"Non-coding RNA profiling by array"	"Bos taurus;Homo sapiens;Mus musculus;Sus scrofa"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81120/suppl"	28592665		"Monika M Kaczmarek"	"Jun 23, 2017"
GSE83393	"Newborn Sex-specific Transcriptome Signatures and Gestational Exposure to Fine Particles: Findings from the ENVIRONAGE Birth Cohort"	"Expression profiling by array"	"Homo sapiens"	146		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83393/suppl"	28583124		"Tim S Nawrot"	"Jun 23, 2017"
GSE83493	"hnRNP C is a key regulator of protein synthesis in mitosis"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	16		"XLSX"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83493/suppl"	28460002	SRP076733	"Ran Elkon"	"Jun 23, 2017"
GSE83658	"Correction of the exon 2 duplication in DMD myoblasts by a single CRISPR/Cas9 system"	"Genome variation profiling by array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83658/suppl"	28624187		"Matteo Bovolenta"	"Jun 23, 2017"
GSE84748	"Genome-wide expression profiling of prostate specimens from a clinical trial of genistein supplementation prior to prostatectomy."	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84748/suppl"	28560383		"Carlos S. Moreno"	"Jun 23, 2017"
GSE84749	"Genome-wide DNA methylation profiling of prostate specimens from a clinical trial of genistein supplementation prior to prostatectomy."	"Methylation profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84749/suppl"	28560383		"Carlos S. Moreno"	"Jun 23, 2017"
GSE84750	"Prostate specimens from a clinical trial of genistein supplementation prior to prostatectomy"	"Expression profiling by array;Methylation profiling by array"	"Homo sapiens"	48				28560383		"Carlos S. Moreno"	"Jun 23, 2017"
GSE86336	"m6A mRNA modifications are deposited in nascent pre-mRNA and are not required for splicing but do specify cytoplasmic turnover"	"Expression profiling by high throughput sequencing"	"Homo sapiens;Mus musculus"	20		"BED;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86336/suppl"	28637692	SRP083953	"Shengdong Ke"	"Jun 23, 2017"
GSE86355	"Comprehensive Analysis of the DNA Methylome of Human Cutaneous Melanoma"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	75		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86355/suppl"	28578692		"Sebastian Moran"	"Jun 23, 2017"
GSE86550	"Deletions in the ATAD3 gene cluster cause cerebellar developmental defects with mitochondrial DNA abnormalities owing to local cholesterol insufficiency"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	15		"TSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86550/suppl"	28549128	SRP087536	"ian james holt"	"Jun 23, 2017"
GSE86604	"Global miRNA expression analysis identifies novel key regulators of plasma cell differentiation and malignant plasma cell"	"Non-coding RNA profiling by array"	"Homo sapiens;synthetic construct"	21		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86604/suppl"	28459970		"Jerome Moreaux"	"Jun 23, 2017"
GSE89923	"Effects of smoke and smokeless tobacco products on gene expression and cellular pathways in oral cavity cells"	"Expression profiling by array"	"Homo sapiens"	90		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89923/suppl"	28467356		"Quynh Tran"	"Jun 23, 2017"
GSE90874	"Gene expression and 4sUDRB-seq for NF90/NF110 of human scramble and KD HeLa cells."	"Expression profiling by high throughput sequencing;Other"	"Homo sapiens"	18		"BED;BW"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90874/suppl"	28625552	SRP094563	"Li Yang"	"Jun 23, 2017"
GSE90878	"An erythroid-specific enhancer of ATP2B4 mediates red blood cell hydration and malaria susceptibility [RNA-seq]"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90878/suppl"	28570605	SRP094565	"Guillaume Lettre"	"Jun 23, 2017"
GSE94108	"Cerebrospinal fluid microRNAs are potential biomarkers of temporal lobe epilepsy and status epilepticus"	"Other"	"Homo sapiens"	45		"XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94108/suppl"	28607431		"David Henshall"	"Jun 23, 2017"
GSE95232	"Transient and permanent changes in DNA methylation patterns in inorganic arsenic-mediated epithelial-to-mesenchymal transition"	"Methylation profiling by genome tiling array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95232/suppl"	28589171		"Yvonne Nsokika Fondufe-Mittendorf"	"Jun 23, 2017"
GSE98993	"An erythroid-specific enhancer of ATP2B4 mediates red blood cell hydration and malaria susceptibility"	"Expression profiling by high throughput sequencing;SNP genotyping by SNP array;Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens"	74		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98993/suppl"	28570605		"Guillaume Lettre"	"Jun 23, 2017"
GSE100093	"Pharmacodynamics, Safety, and Clinical Efficacy of AMG 811, a Human Anti-Interferon-γ Antibody, in Patients With Discoid Lupus Erythematosus [skin]"	"Expression profiling by array"	"Homo sapiens"	60		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100093/suppl"	28118537		"Dan Baker"	"Jun 23, 2017"
GSE100268	"HPIP controls osteoarthritis cartilage degeneration  [RNA-seq]"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100268/suppl"		SRP109837	"Quanbo Ji"	"Jun 23, 2017"
GSE100311	"HPIP controls osteoarthritis cartilage degeneration  [ChIP-seq]"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	4		"BW"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100311/suppl"		SRP110029	"Quanbo Ji"	"Jun 23, 2017"
GSE100312	"HPIP controls osteoarthritis cartilage degeneration "	"Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	6		"BW"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100312/suppl"			"Quanbo Ji"	"Jun 23, 2017"
GSE100341	"PGC-1a Provides a Transcriptional Framework for Synchronous Neurotransmitter Release from ParvalbuminPositive Interneurons"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100341/suppl"	25339750		"Rita M Cowell"	"Jun 23, 2017"
GSE100354	"Highly purified human cord blood-derived CD34+/- hematopoietic stem cells"	"Expression profiling by array"	"Homo sapiens"	9		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100354/suppl"			"Yoshikazu Matsuoka"	"Jun 23, 2017"
GSE100380	"Type I IFNs and TNF Cooperatively Reprogram Epigenomic Landscape of Human Macrophages to Promote Inflammatory Activation [ATAC-seq]"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	40		"BED"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100380/suppl"	28825701	SRP110185	"Lionel Ivashkiv"	"Jun 23, 2017"
GSE100381	"Type I IFNs and TNF Cooperatively Reprogram Epigenomic Landscape of Human Macrophages to Promote Inflammatory Activation [ChIP-seq]"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	36		"BED"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100381/suppl"	28825701	SRP110186	"Lionel Ivashkiv"	"Jun 23, 2017"
GSE100382	"Type I IFNs and TNF Cooperatively Reprogram Epigenomic Landscape of Human Macrophages to Promote Inflammatory Activation [RNA-seq]"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100382/suppl"	28825701	SRP110187	"Lionel Ivashkiv"	"Jun 23, 2017"
