Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE29830	"Expression analysis of colorectal carcinoma cells with overexpressed TP53 using MAT"	"Expression profiling by genome tiling array"	"Homo sapiens"	14		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29830/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29831	"Differential expression analysis of colorectal carcinoma cells (defunct TP53 versus active TP53) using MAT"	"Expression profiling by genome tiling array"	"Homo sapiens"	28		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29831/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29836	"Expression analysis of INA6 cells after IL-6 restimulation using TAS"	"Expression profiling by genome tiling array"	"Homo sapiens"	14		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29836/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29837	"Expression analysis of INA6 cells after IL-6 withdrawal using TAS"	"Expression profiling by genome tiling array"	"Homo sapiens"	14		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29837/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29838	"Differential expression analysis of INA6 cells using TAS"	"Expression profiling by genome tiling array"	"Homo sapiens"	28		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29838/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29839	"Expression analysis of colorectal carcinoma cells with defunct TP53 using TAS"	"Expression profiling by genome tiling array"	"Homo sapiens"	14		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29839/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29840	"Expression analysis of colorectal carcinoma cells with overexpressed TP53 using TAS"	"Expression profiling by genome tiling array"	"Homo sapiens"	14		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29840/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29841	"Differential expression analysis of colorectal carcinoma cells (defunct TP53 versus active TP53) using TAS"	"Expression profiling by genome tiling array"	"Homo sapiens"	28		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29841/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29844	"Expression analysis of colorectal carcinoma cells with defunct TP53 using TileShuffle"	"Expression profiling by genome tiling array"	"Homo sapiens"	14		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29844/suppl"			"Kristin Reiche"	"Jan 31, 2016"
GSE29845	"Expression analysis of colorectal carcinoma cells with overexpressed TP53 using TileShuffle"	"Expression profiling by genome tiling array"	"Homo sapiens"	14		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29845/suppl"			"Kristin Reiche"	"Jan 31, 2016"
