Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE97169	"Gene expression in the Bmi1 knockout Huh7 and Hep3B cells"	"Expression profiling by array"	"Homo sapiens"	4		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97169/suppl"			"Yuyuan Chen"	"Mar 29, 2018"
GSE97172	"Targets of Bmi1 in HCC pathogenesis"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	10		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97172/suppl"			"Yuyuan Chen"	"Mar 29, 2018"
GSE103473	"Altered MicroRNA Profile in Osteoporosis Caused by Impaired WNT signaling"	"Other"	"Homo sapiens"	24						"Matthias Hackl"	"Mar 29, 2018"
GSE112419	"MOF forms a positive feedback regulation with ERα to suppress endometrial cancer progression"	"Expression profiling by array"	"Homo sapiens"	12		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112419/suppl"			"Wensu Liu"	"Mar 29, 2018"
GSE112432	"Nuclear localization of intracellular domain of LDL receptor-related protein 1B induced expresion data"	"Expression profiling by array"	"Homo sapiens"	2		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112432/suppl"			"Tamotsu Takeuchi"	"Mar 29, 2018"
GSE112447	"Gene expression analisys of GD2+ cells from metastatic NB, unselected bone marrow from metastatic NB, primary tumors from stage 4 NB (alive and dead at 5 years of follow-up) and primary tumor from localized NB"	"Expression profiling by array"	"Homo sapiens"	57		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112447/suppl"			"Sara Stigliani"	"Mar 29, 2018"
GSE112462	"CIRCULATING MICRORNAs PREDICT SURVIVAL OF PATIENTS WITH TUMORS OF GLIAL ORIGIN"	"Other"	"Homo sapiens"	36		"RCC"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112462/suppl"			"Alessandra Drusco"	"Mar 29, 2018"
GSE89951	"CHD7 specifies stem cell identity and neurogenic potential in neural progenitors by regulating SOX21 and BRN2 expression in human central nervous system"	"Expression profiling by array"	"Homo sapiens"	18		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89951/suppl"	29440260		"Tsukasa Sanosaka"	"Mar 28, 2018"
GSE89957	"Analysis of human ES cell differentiation establishes that the dominant isoforms of the lncRNAs RMST and FIRRE are circular"	"Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing;Other"	"Homo sapiens"	31		"BED;XLSX"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89957/suppl"		SRP093677	"Michael Jackson"	"Mar 28, 2018"
GSE98895	"Gene expression profiles of PBMCs in healthy subjects (CTRL) and patients with Metabolic Syndrome (MS)  - PART 1 - Genes"	"Expression profiling by array"	"Homo sapiens"	40		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98895/suppl"	29584810		"Antonio Moschetta"	"Mar 28, 2018"
GSE98896	"Gene expression profiles of PBMCs in healthy subjects (CTRL) and patients with Metabolic Syndrome (MS)  - PART 2 - miRNAs"	"Non-coding RNA profiling by array"	"Homo sapiens"	40		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98896/suppl"	29584810		"Antonio Moschetta"	"Mar 28, 2018"
GSE98897	"Gene expression profiles of PBMCs in healthy subjects (CTRL) and patients with Metabolic Syndrome (MS)"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	80				29584810		"Antonio Moschetta"	"Mar 28, 2018"
GSE108170	"Transcriptome analysis of CHARGE patients iPSC-derived neural stem/progenitor cells"	"Expression profiling by array"	"Homo sapiens"	12		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108170/suppl"	29440260		"Tsukasa Sanosaka"	"Mar 28, 2018"
GSE108205	"ChIP-seq with DNA methylation inhibitor in HCT116"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	4		"CSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108205/suppl"		SRP127036	"Peter A Jones"	"Mar 28, 2018"
GSE108210	"DNA methylation inhibitor in HCT116"	"Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	34						"Peter A Jones"	"Mar 28, 2018"
GSE108275	"Analysis of gene expression profile in the control and CHD7-knockdown hiPSC-derived lt-NES cells (scRNA-Seq)"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	92		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108275/suppl"	29440260	SRP127035	"Tsukasa Sanosaka"	"Mar 28, 2018"
GSE108506	"The role of CHD7 in human central nervous system development (ChIP-Seq)"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	63		"BW"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108506/suppl"	29440260	SRP130911	"Tsukasa Sanosaka"	"Mar 28, 2018"
GSE109623	"Dynamic and integrated transcriptional code orchestrates the angiogenic response [Nanostring]"	"Non-coding RNA profiling by array"	"Homo sapiens"	8		"RCC"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109623/suppl"			"bing zhang"	"Mar 28, 2018"
GSE109625	"Dynamic and integrated transcriptional code orchestrates the angiogenic response [Seq]"	"Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	65		"BED;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109625/suppl"		SRP131219	"bing zhang"	"Mar 28, 2018"
GSE109626	"Dynamic and integrated transcriptional code orchestrates the angiogenic response"	"Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Non-coding RNA profiling by array"	"Homo sapiens"	69		"BED;RCC"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109626/suppl"			"bing zhang"	"Mar 28, 2018"
