Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE50929	"SRC family kinases are involved in the regulation of CD20"	"Expression profiling by array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50929/suppl"			"Magdalena Król"	"Dec 31, 2014"
GSE50945	"Effect of DHA enriched fish oil on human placental cells"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50945/suppl"			"Sam Buckberry"	"Dec 31, 2014"
GSE51029	"Transcriptomics of THP-1 host cells infected with Mycobacterium tuberculosis (Mtb)"	"Expression profiling by array"	"Homo sapiens"	336		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51029/suppl"			"Hans-Joachim Mollenkopf"	"Dec 31, 2014"
GSE51280	"TBCRC 018:  Phase II study of iniparib in combination with irinotecan to treat progressive triple negative breast cancer brain metastases"	"Expression profiling by array"	"Homo sapiens"	24		"XLSX"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51280/suppl"			"Charles M. Perou"	"Dec 31, 2014"
GSE51688	"DNA methylation profiles of ovarian cancer cell lines"	"Methylation profiling by array"	"Homo sapiens"	58		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51688/suppl"			"Susan K. Murphy"	"Dec 31, 2014"
GSE51820	"DNA methylation profiles of primary ovarian cancers"	"Methylation profiling by genome tiling array"	"Homo sapiens"	96		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51820/suppl"			"Susan K. Murphy"	"Dec 31, 2014"
GSE51953	"Characterization of Gene Expression in hepatic stellate cell (HSC)"	"Expression profiling by array"	"Homo sapiens"	6		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51953/suppl"			"Yang Bu"	"Dec 31, 2014"
GSE52089	"Reexpression of LSAMP inhibits tumor growth in a preclinical osteosarcoma model"	"Expression profiling by array"	"Homo sapiens"	9		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52089/suppl"	24885297		"Leonardo A. Meza-Zepeda"	"Dec 31, 2014"
GSE52093	"Genome-wide analysis of gene expression of ascending aorta from patients with acute Stanford type A aortic dissection"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52093/suppl"			"Sun Pan"	"Dec 31, 2014"
GSE52173	"Across-species comprehensive copy number analyses identifies subtype-specific drivers of breast cancer development"	"Genome variation profiling by SNP array"	"Homo sapiens"	159		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52173/suppl"	26109346		"Charles M. Perou"	"Dec 31, 2014"
GSE52211	"Sex-specific transcriptional differences between male and female human umbilical vein endothelial cells (HUVEC) after shear stress."	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52211/suppl"	25756910		"Mario Lorenz"	"Dec 31, 2014"
GSE52212	"Sex-specific transcriptional differences between non-treated male and female human umbilical vein endothelial cells (HUVEC)"	"Expression profiling by array"	"Homo sapiens"	10		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52212/suppl"	25756910		"Mario Lorenz"	"Dec 31, 2014"
