Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE77883	"Enzalutamide inhibits proliferation of gemcitabine-resistant bladder cancer cells with increased androgen receptor expression"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77883/suppl"			"Toshio Kojima"	"Nov 30, 2016"
GSE81617	"Activin/Smad2-induced H3K27me3 reduction is crucial to initiate mesendoderm differentiation of ES Cells"	"Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	16		"BW;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81617/suppl"	27965357	SRP075378	"Yaqiang Cao"	"Nov 30, 2016"
GSE85457	"Gene array analysis of anaplastic thyroid carcinoma cell lines versus normal thyroid cell lines"	"Expression profiling by array"	"Homo sapiens"	7		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85457/suppl"			"John A Copland"	"Nov 30, 2016"
GSE85541	"Ailanthone targets p23 to overcome MDV3100 resistance in castration-resistant prostate cancer"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	4		"TSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85541/suppl"	27959342	SRP081473	"LIGUO WANG"	"Nov 30, 2016"
GSE85937	"Genome profiling of free circulating tumor DNA by oncoscan and comparison to profiles in tumor biopsies evaluated by cytoscan"	"Genome variation profiling by SNP array"	"Homo sapiens"	28		"CEL;CYCHP;OSCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85937/suppl"			"Olga Østrup"	"Nov 30, 2016"
GSE87461	"GPCR endocytosis confers uniformity in responses to chemically distinct ligands"	"Expression profiling by array"	"Homo sapiens"	6		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87461/suppl"	27879340		"Nikoleta Tsvetanova"	"Nov 30, 2016"
GSE88808	"Age-Related Gene Expression Changes in Prostate Cancer Patients [array]"	"Expression profiling by array"	"Homo sapiens"	98		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88808/suppl"	28027300		"Susan Neuhausen"	"Nov 30, 2016"
GSE88820	"Real-time quantitative PCR analysis of human T cells"	"Expression profiling by RT-PCR"	"Homo sapiens"	42		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88820/suppl"	28292330		"Isabel Garcia Sousa"	"Nov 30, 2016"
GSE89042	"Leucocyte small nucleolar RNA and microRNA expression data from healthy control subjects of different age"	"Non-coding RNA profiling by array"	"Homo sapiens;synthetic construct"	38		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89042/suppl"	28448962		"Maider Muñoz-Culla"	"Nov 30, 2016"
GSE89193	"Age-Related Gene Expression Changes in Prostate Cancer Patients [miRNA-Seq]"	"Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens"	98		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89193/suppl"	28027300	SRP092174	"Susan Neuhausen"	"Nov 30, 2016"
GSE89194	"Age-Related Gene Expression Changes in Prostate Cancer Patients"	"Expression profiling by array;Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens"	207		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89194/suppl"	28027300		"Susan Neuhausen"	"Nov 30, 2016"
GSE90463	"Age-Related Gene Expression Changes in Prostate Cancer Patients [RNA-Seq]"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	11		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90463/suppl"	28027300	SRP093823	"Susan Neuhausen"	"Nov 30, 2016"
GSE90645	"The impact of SpiB overexpression on gene expression profile in A549 cells"	"Expression profiling by array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90645/suppl"			"Zhe Liu"	"Nov 30, 2016"
GSE90682	"Mutations in EBF3 disturb transcriptional profiles and cause intellectual disability, ataxia and facial dysmorphism"	"Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing"	"Homo sapiens"	16		"BED;NARROWPEAK;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90682/suppl"	28017373	SRP094079	"Gregory M Cooper"	"Nov 30, 2016"
GSE90709	"Methylation, expression, and SNP data of multi regional colorectal carcinoma"	"Methylation profiling by genome tiling array;Expression profiling by array;Genome variation profiling by SNP array;SNP genotyping by SNP array"	"Homo sapiens"	172		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90709/suppl"			"RYUTARO UCHI"	"Nov 30, 2016"
GSE72545	"Integrin-α10-dependency defines a novel therapeutic strategy targeting RAC and mTORC2 for metastatic myxofibrosarcoma"	"Expression profiling by array"	"Homo sapiens"	64		"CEL;CHP;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72545/suppl"			"Jeffrey Zhao"	"Nov 29, 2016"
GSE75267	"Tumor infiltrating HLA-matched CD4+ T cells retargeted against Hodgkin and Reed-Sternberg cells"	"Expression profiling by array"	"Homo sapiens"	19		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75267/suppl"	27471632		"Claudia Döring"	"Nov 29, 2016"
GSE75524	"Activation of the IGF1 pathway mediates changes in cellular contractility and motility in single-suture craniosynostosis"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75524/suppl"	26659664	SRP066818	"Nathan J. Sniadecki"	"Nov 29, 2016"
GSE86099	"Gene expression signature of paclitaxel resistance in human esophageal squamous cell cancer cell line"	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86099/suppl"	27941276		"yuriko saiki"	"Nov 29, 2016"
GSE90145	"Expression data from triple negative breast cancer cells"	"Expression profiling by array"	"Homo sapiens"	18		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90145/suppl"	28416606		"Tieju Liu"	"Nov 29, 2016"
GSE90578	"Stathmin overexpression cell and control cell gene expression analysis"	"Expression profiling by array"	"Homo sapiens"	4		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90578/suppl"			"gaijing Han"	"Nov 29, 2016"
GSE90587	"Neuroblastoma response to C2 ceramide and PARP inhibitor (PJ34)"	"Expression profiling by array"	"Homo sapiens"	27		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90587/suppl"			"Krzysztof Gogolewski"	"Nov 29, 2016"
GSE58663	"Molecular Mechanisms of Endothelial Hyperpermeability"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	6		"BEDGRAPH;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58663/suppl"	27873103	SRP043426	"Minna U Kaikkonen"	"Nov 28, 2016"
GSE75315	"Expression data for 211  primary tumors from patients with colorectal cancer"	"Expression profiling by array"	"Homo sapiens"	211		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75315/suppl"	27354468		"Oliver Sieber"	"Nov 28, 2016"
GSE75316	"Expression data for 59 primary tumors from patients with colorectal cancer"	"Expression profiling by array"	"Homo sapiens"	59		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75316/suppl"	27354468		"Oliver Sieber"	"Nov 28, 2016"
GSE75317	"BRAF V600E mutant colorectal cancer subtypes based on gene expression"	"Expression profiling by array"	"Homo sapiens"	270		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75317/suppl"	27354468		"Oliver Sieber"	"Nov 28, 2016"
GSE87779	"DNA hypomethylation define poorly prognostic pediatric posterior fossa ependymomas"	"Methylation profiling by high throughput sequencing"	"Homo sapiens"	16		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87779/suppl"	27881822	SRP091332	"Piali Mukherjee"	"Nov 28, 2016"
GSE89041	"DNA methylation profiling identifies PTRF/Cavin-1 as a novel tumor suppressor in Ewing sarcoma when co-expressed with Caveolin-1"	"Methylation profiling by genome tiling array"	"Homo sapiens"	22				27894957		"Sebastian Moran"	"Nov 28, 2016"
GSE89154	"RNA-seq of YB5 cells treated with Proscillaridin A"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89154/suppl"	27980103	SRP092043	"Jaroslav Jelinek"	"Nov 28, 2016"
GSE75101	"Galectin-1 suppression delineates a new therapeutic strategy for myeloma-induced angiogenesis"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75101/suppl"	27311934		"Luca Agnelli"	"Nov 27, 2016"
GSE90521	"The footprint of the aging stroma in older breast cancer patients."	"Expression profiling by array"	"Homo sapiens"	17		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90521/suppl"			"Yacine Bareche"	"Nov 26, 2016"
GSE90523	"The long non-coding RNA GAS5 differentially regulates cell cycle arrest and apoptosis in human neuroblastoma"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90523/suppl"	28035057	SRP093923	"Joseph Mazar"	"Nov 26, 2016"
GSE90524	"Genome-wide analysis of long noncoding RNA expression profile in colorectal cancer"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90524/suppl"	28177879		"Wu Hao"	"Nov 26, 2016"
GSE50900	"Gene profiling of the zone of altered morphology of choriodecidua overlying the cervix before labor"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50900/suppl"	28031337		"Céline Méhats"	"Nov 25, 2016"
GSE59686	"Gene profiling of the zone of altered morphology of choriodecidua overlying the cervix before labor in preterm samples"	"Expression profiling by array"	"Homo sapiens"	10		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59686/suppl"	28031337		"Céline Méhats"	"Nov 25, 2016"
